Function,Invocations(%),#Invocations
tanhf,0,0
tanhl,0,0
tanl,0,0
tcdrain,0,0
tcflow,0,0
tcflush,0,0
tcgetsid,0,0
tcsendbreak,0,0
tcsetpgrp,0,0
tdelete,0,0
telldir,0,0
tempnam,0,0
tfind,0,0
tgamma,0,0
tgammaf,0,0
tgammal,0,0
timer_create,0,0
timer_delete,0,0
timer_getoverrun,0,0
timer_gettime,0,0
timer_settime,0,0
tmpfile,0,0
tmpnam,0,0
toascii,0,0
tolower,0,0
_tolower,0,0
tolower_l,0,0
toupper,0,0
_toupper,0,0
toupper_l,0,0
towctrans,0,0
towctrans_l,0,0
towlower,0,0
towlower_l,0,0
towupper,0,0
towupper_l,0,0
trunc,0,0
truncf,0,0
truncl,0,0
tsearch,0,0
ttyname,0,0
ttyname_r,0,0
twalk,0,0
tzset,0,0
ulimit,0,0
uname,0,0
ungetwc,0,0
unlinkat,0,0
unsetenv,0,0
uselocale,0,0
utimensat,0,0
va_arg,0,0
va_copy,0,0
va_end,0,0
va_start,0,0
vdprintf,0,0
vfprintf,0,0
vfscanf,0,0
vfwprintf,0,0
vfwscanf,0,0
vprintf,0,0
vscanf,0,0
vsnprintf,0,0
vsprintf,0,0
vsscanf,0,0
vswprintf,0,0
vswscanf,0,0
vwprintf,0,0
vwscanf,0,0
wait,0,0
waitid,0,0
wcpcpy,0,0
wcpncpy,0,0
wcrtomb,0,0
wcscasecmp,0,0
wcscasecmp_l,0,0
wcscat,0,0
wcschr,0,0
wcscmp,0,0
wcscoll,0,0
wcscoll_l,0,0
wcscpy,0,0
wcscspn,0,0
wcsdup,0,0
wcsftime,0,0
wcslen,0,0
wcsncasecmp,0,0
wcsncasecmp_l,0,0
wcsncat,0,0
wcsncmp,0,0
wcsncpy,0,0
wcsnlen,0,0
wcsnrtombs,0,0
wcspbrk,0,0
wcsrchr,0,0
wcsrtombs,0,0
wcsspn,0,0
wcsstr,0,0
wcstod,0,0
wcstof,0,0
wcstoimax,0,0
wcstok,0,0
wcstol,0,0
wcstold,0,0
wcstoll,0,0
wcstombs,0,0
wcstoul,0,0
wcstoull,0,0
wcstoumax,0,0
wcswidth,0,0
wcsxfrm,0,0
wcsxfrm_l,0,0
wctob,0,0
wctomb,0,0
wctrans,0,0
wctrans_l,0,0
wctype,0,0
wctype_l,0,0
wcwidth,0,0
wmemchr,0,0
wmemcmp,0,0
wordexp,0,0
wordfree,0,0
wprintf,0,0
wscanf,0,0
y0,0,0
y1,0,0
yn,0,0
Total invocations,95352955,
